eartag,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc
14,23/01/2020,5,1,0,1b,0,0,0,0,0,0,0,0,36.9
58,23/01/2020,5,1,0,1b,0,0,0,0,0,0,0,0,39.4
64,23/01/2020,5,1,0,1b,0,0,0,0,0,0,0,0,38.8
808,23/01/2020,5,1,0,1b,0,1,0,0,0,0,1,1,39.7
6,23/01/2020,5,3,1,3a,0,2,0,0,0,0,2,2,40.4
16,23/01/2020,5,3,1,3a,0,2,0,0,0,0,2,2,41
35,23/01/2020,5,3,1,3a,0,2,0,0,0,0,2,2,40.5
51,23/01/2020,5,3,1,3a,0,1,0,0,0,0,1,1,40
26,23/01/2020,5,5,1,5a,0,0,0,0,0,0,0,0,39.5
28,23/01/2020,5,5,1,5a,1,2,0,0,0,0,3,3,40.3
57,23/01/2020,5,5,1,5a,0,2,0,0,0,0,2,2,40.5
827,23/01/2020,5,5,1,5a,0,0,0,0,0,0,0,0,38.6
11,24/01/2020,6,1,0,1b,0,0,0,0,0,0,0,0,39.2
13,24/01/2020,6,1,0,1b,0,0,0,0,0,0,0,0,39
14,24/01/2020,6,1,0,1b,0,0,0,0,0,0,0,0,39.1
58,24/01/2020,6,1,0,1b,0,0,0,0,0,0,0,0,39.4
64,24/01/2020,6,1,0,1b,0,1,0,0,0,0,1,1,40
808,24/01/2020,6,1,0,1b,0,0,0,0,0,0,0,0,37.1
6,24/01/2020,6,3,1,3a,0,2,0,1,0,0,3,3,40.4
16,24/01/2020,6,3,1,3a,0,2,0,1,0,0,3,3,40.6
35,24/01/2020,6,3,1,3a,0,2,0,1,0,0,3,3,40.9
51,24/01/2020,6,3,1,3a,0,1,0,1,0,0,2,2,40
26,24/01/2020,6,5,1,5a,0,0,0,0,0,0,0,0,39.2
28,24/01/2020,6,5,1,5a,1,1,0,0,0,0,2,2,39.8
57,24/01/2020,6,5,1,5a,0,1,0,1,0,0,2,2,39.8
827,24/01/2020,6,5,1,5a,0,0,0,1,0,0,1,1,38.4
11,25/01/2020,7,1,0,1b,0,0,0,0,0,0,0,0,39.1
13,25/01/2020,7,1,0,1b,0,0,0,0,0,0,0,0,39.5
14,25/01/2020,7,1,0,1b,0,0,0,0,0,0,0,0,39.8
58,25/01/2020,7,1,0,1b,0,0,0,0,0,0,0,0,39.2
64,25/01/2020,7,1,0,1b,0,1,0,0,0,0,1,1,39.5
808,25/01/2020,7,1,0,1b,0,0,0,0,0,0,0,0,38.6
6,25/01/2020,7,3,1,3a,0,2,0,2,0,0,4,4,40.6
16,25/01/2020,7,3,1,3a,2,3,1,2,0,1,9,9,41.2
35,25/01/2020,7,3,1,3a,1,3,1,2,0,1,8,8,40.5
51,25/01/2020,7,3,1,3a,0,2,0,1,0,0,3,3,40.6
26,25/01/2020,7,5,1,5a,0,1,0,2,0,0,3,3,39.6
28,25/01/2020,7,5,1,5a,2,0,0,2,0,0,4,4,38.5
57,25/01/2020,7,5,1,5a,2,2,0,1,0,1,6,6,40.3
827,25/01/2020,7,5,1,5a,0,1,0,1,0,0,2,2,40
11,26/01/2020,8,1,0,1b,0,0,0,0,0,0,0,0,38.7
13,26/01/2020,8,1,0,1b,0,0,0,0,0,0,0,0,39.5
14,26/01/2020,8,1,0,1b,0,0,0,0,1,0,1,1,39.4
58,26/01/2020,8,1,0,1b,0,0,0,0,0,0,0,0,38.9
64,26/01/2020,8,1,0,1b,0,0,0,0,0,0,0,0,39.4
808,26/01/2020,8,1,0,1b,0,0,0,0,0,0,0,0,36.5
6,26/01/2020,8,3,1,3a,1,1,0,1,0,0,3,3,39.8
16,26/01/2020,8,3,1,3a,2,3,2,1,0,1,9,9,40.8
35,26/01/2020,8,3,1,3a,1,3,0,M,1,0,5,5,40.5
51,26/01/2020,8,3,1,3a,1,1,0,1,0,0,3,3,40
26,26/01/2020,8,5,1,5a,1,0,0,0,0,0,1,1,39.5
28,26/01/2020,8,5,1,5a,2,0,0,2,1,0,5,5,38.4
57,26/01/2020,8,5,1,5a,1,2,0,1,1,2,7,7,40.1
827,26/01/2020,8,5,1,5a,0,0,0,1,0,0,1,1,38.5
11,27/01/2020,9,1,0,1b,0,0,0,0,0,0,0,0,38.6
13,27/01/2020,9,1,0,1b,0,0,0,0,0,0,0,0,39.2
14,27/01/2020,9,1,0,1b,0,0,0,0,0,0,0,0,39.4
58,27/01/2020,9,1,0,1b,0,0,0,0,0,0,0,0,39.3
64,27/01/2020,9,1,0,1b,0,1,0,0,0,0,0,1,39.8
808,27/01/2020,9,1,0,1b,0,0,0,0,0,0,0,0,32.6
6,27/01/2020,9,3,1,3a,1,3,0,1,0,0,5,5,40.3
16,27/01/2020,9,3,1,3a,1,3,1,1,0,0,6,6,39.7
35,27/01/2020,9,3,1,3a,1,3,0,1,0,0,5,5,39.9
51,27/01/2020,9,3,1,3a,1,0,0,1,0,0,2,2,39.4
26,27/01/2020,9,5,1,5a,1,0,1,1,0,0,3,3,38.6
28,27/01/2020,9,5,1,5a,2,0,1,2,1,1,7,7,38.2
57,27/01/2020,9,5,1,5a,1,1,1,1,0,2,6,6,39.8
827,27/01/2020,9,5,1,5a,0,0,0,1,0,0,1,1,38.4
11,28/01/2020,10,1,0,1b,0,0,0,0,0,0,0,0,38.7
13,28/01/2020,10,1,0,1b,0,0,0,0,0,0,0,0,39.4
14,28/01/2020,10,1,0,1b,0,0,0,0,0,0,0,0,39.4
58,28/01/2020,10,1,0,1b,0,0,0,0,0,0,0,0,39
64,28/01/2020,10,1,0,1b,0,1,0,0,0,0,1,1,39.7
808,28/01/2020,10,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,28/01/2020,10,3,1,3a,1,3,0,1,1,0,6,6,39.6
16,28/01/2020,10,3,1,3a,1,3,1,1,0,0,6,6,39.7
35,28/01/2020,10,3,1,3a,1,3,0,1,0,0,5,5,40.1
51,28/01/2020,10,3,1,3a,1,0,0,1,1,0,3,3,39.3
26,28/01/2020,10,5,1,5a,1,0,0,0,1,0,2,2,38.5
28,28/01/2020,10,5,1,5a,2,0,1,2,1,2,8,8,38
57,28/01/2020,10,5,1,5a,1,0,1,1,1,2,6,6,39.5
827,28/01/2020,10,5,1,5a,0,0,1,1,1,0,3,3,39.1
11,29/01/2020,11,1,0,1b,0,0,0,0,0,0,0,0,38.7
13,29/01/2020,11,1,0,1b,0,0,0,0,0,0,0,0,39.1
14,29/01/2020,11,1,0,1b,0,0,0,0,0,0,0,0,39.3
58,29/01/2020,11,1,0,1b,0,0,0,0,0,0,0,0,38.9
64,29/01/2020,11,1,0,1b,0,0,0,0,0,0,0,0,39.4
808,29/01/2020,11,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,29/01/2020,11,3,1,3a,1,3,0,1,1,0,6,6,39.7
16,29/01/2020,11,3,1,3a,1,3,1,0,0,0,5,5,39.9
35,29/01/2020,11,3,1,3a,1,3,0,1,0,0,5,5,39.7
51,29/01/2020,11,3,1,3a,1,3,0,1,1,0,6,6,39.6
26,29/01/2020,11,5,1,5a,1,0,0,0,0,0,1,1,38.4
28,29/01/2020,11,5,1,5a,2,0,1,1,0,1,5,5,38.5
57,29/01/2020,11,5,1,5a,1,0,1,1,1,2,6,6,39.2
827,29/01/2020,11,5,1,5a,0,0,0,0,0,0,0,0,39.3
11,30/01/2020,12,1,0,1b,0,0,0,0,0,0,0,0,38.2
13,30/01/2020,12,1,0,1b,0,0,0,0,0,0,0,0,39.3
14,30/01/2020,12,1,0,1b,0,1,0,0,0,0,0,1,39.9
58,30/01/2020,12,1,0,1b,0,0,0,0,0,0,0,0,38.8
64,30/01/2020,12,1,0,1b,0,1,0,0,0,0,0,1,39.8
808,30/01/2020,12,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,30/01/2020,12,3,1,3a,1,0,0,1,0,1,3,3,39.3
16,30/01/2020,12,3,1,3a,1,0,1,1,0,2,5,5,39.3
35,30/01/2020,12,3,1,3a,1,1,0,1,0,0,3,3,39.6
51,30/01/2020,12,3,1,3a,1,3,0,1,0,0,5,5,39.6
26,30/01/2020,12,5,1,5a,1,0,0,1,0,0,2,2,39.2
28,30/01/2020,12,5,1,5a,2,0,1,2,1,1,7,7,39.4
57,30/01/2020,12,5,1,5a,1,0,1,1,1,2,6,6,39.1
827,30/01/2020,12,5,1,5a,0,0,0,0,0,0,0,0,38.8
11,31/01/2020,13,1,0,1b,0,0,0,0,0,0,0,0,38.6
13,31/01/2020,13,1,0,1b,0,0,0,0,0,0,0,0,39.4
