eartag,species,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,expt
265,Bovine,4/3/2021,5,5,1,5a,0,0,0,0,0,0,0,0,39.4,Experimental Barn
269,Bovine,4/3/2021,5,5,1,5a,0,0,0,0,0,0,0,0,38.7,Experimental Barn
273,Bovine,4/3/2021,5,5,1,5a,0,0,0,0,0,0,0,0,38.6,Experimental Barn
232,Caprine,4/3/2021,5,5,0,5b,0,0,0,0,0,0,0,0,38.7,Experimental Barn
245,Caprine,4/3/2021,5,5,0,5b,0,0,0,0,0,0,0,0,38.3,Experimental Barn
248,Caprine,4/3/2021,5,5,0,5b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
253,Caprine,4/3/2021,5,5,0,5b,0,1,0,0,0,0,1,1,39.7,Experimental Barn
256,Bovine,4/3/2021,5,6,1,6a,0,0,0,0,0,0,0,0,36.1,Experimental Barn
261,Bovine,4/3/2021,5,6,1,6a,0,0,0,0,0,0,0,0,38.5,Experimental Barn
268,Bovine,4/3/2021,5,6,1,6a,0,0,0,0,0,0,0,0,38.8,Experimental Barn
272,Bovine,4/3/2021,5,6,1,6a,0,0,0,0,0,0,0,0,38,Experimental Barn
231,Caprine,4/3/2021,5,6,0,6b,0,0,0,0,0,0,0,0,38.6,Experimental Barn
240,Caprine,4/3/2021,5,6,0,6b,0,0,0,0,0,0,0,0,38.9,Experimental Barn
244,Caprine,4/3/2021,5,6,0,6b,0,1,0,0,0,0,1,1,39.7,Experimental Barn
250,Caprine,4/3/2021,5,6,0,6b,0,0,0,0,0,0,0,0,38.4,Experimental Barn
260,Bovine,5/3/2021,6,1,1,1a,0,0,0,0,0,0,0,0,38.1,Experimental Barn
266,Bovine,5/3/2021,6,1,1,1a,0,0,0,0,0,0,0,0,39.3,Experimental Barn
274,Bovine,5/3/2021,6,1,1,1a,0,0,0,0,0,0,0,0,38.9,Experimental Barn
