eartag,type,species,sex,dpi,barn,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r,isolation2_dmem,i2o,i2n,i2r
35,E,S,F,17,3,26.6996,26.8083,30.3138,29.0787,27.5115,27.7079,33.0516,32.8305,26.75395,29.69625,27.6097,32.94105,,0,0,0,0,,,,
51,E,S,F,17,3,30.5855,30.6515,U,U,U,U,U,U,30.6185,#DIV/0!,#DIV/0!,#DIV/0!,,0,0,,,0,0,,
26,E,G,F,17,5,34.7723,U,U,U,U,U,35.1854,32.7447,34.7723,#DIV/0!,#DIV/0!,33.96505,needed o,0,0,,,,,,
28,E,G,M,17,5,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
57,E,G,M,17,5,24.3338,24.4105,U,U,U,U,30.5357,30.9997,24.37215,#DIV/0!,#DIV/0!,30.7677,,0,0,,,0,0,,
827,E,G,M,17,5,27.8171,28.0097,U,U,U,U,U,U,27.9134,#DIV/0!,#DIV/0!,#DIV/0!,,0,0,,,,,,
11,C,G,F,21,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
13,C,S,M,21,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
14,C,S,M,21,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
58,C,G,M,21,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
64,C,S,F,21,1,U,U,U,U,U,U,U,U,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
808,C,G,M,21,1,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
6,E,S,M,21,3,34.9791,38.8159,U,U,32.585,31.0921,34.2618,35.6007,36.8975,#DIV/0!,31.83855,34.93125,,0,0,,0,0,0,,0
16,E,S,M,21,3,28.0174,27.9257,U,U,27.791,28.0122,33.6208,34.7407,27.97155,#DIV/0!,27.9016,34.18075,,0,0,,0,,,,
35,E,S,F,21,3,32.4634,33.7646,26.801,26.6966,U,37.677,32.6938,33.0572,33.114,26.7488,37.677,32.8755,needed r,0,0,0,0,,,,
51,E,S,F,21,3,U,U,U,U,U,U,37.4225,35.8085,#DIV/0!,#DIV/0!,#DIV/0!,36.6155,,,,,,,,,
26,E,G,F,21,5,U,U,U,U,U,U,36.1561,38.0787,#DIV/0!,#DIV/0!,#DIV/0!,37.1174,,,,,,,,,
28,E,G,M,21,5,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
57,E,G,M,21,5,29.5606,31.4734,U,U,37.3516,35.5824,32.3284,32.6164,30.517,#DIV/0!,36.467,32.4724,,0,0,,0,0,0,,0
827,E,G,M,21,5,32.1079,33.1666,U,U,U,U,U,U,32.63725,#DIV/0!,#DIV/0!,#DIV/0!,,0,0,,,,,,
