eartag,type,species,sex,dpi,barn,innoc,barni,od,sp,status,note,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,notes,isolation1_dpbs,i1o,i1n,i1r
12,E,S,M,17,6,0,6b,3.585,423.0538922,Pos,,21.2007,21.1529,19.0114,19.0581,19.1189,19.2063,28.2873,28.2061,21.1768,19.03475,19.1626,28.2467,,,0,0,0,0
17,E,S,M,17,6,0,6b,0.747,83.17365269,Pos,,29.9979,30.2526,26.9849,26.8376,30.1244,29.6984,Undetermined,Undetermined,30.12525,26.91125,29.9114,#DIV/0!,,,0,0,0,0
32,E,S,M,17,6,0,6b,3.514,414.5508982,Pos,,17.1298,17.1701,19.6558,19.7757,19.3273,19.347,26.2609,26.1235,17.14995,19.71575,19.33715,26.1922,,,1,1,1,1
36,E,S,F,17,6,1,6a,0.085,3.892215569,Neg,,28.2927,28.0907,28.2609,28.0615,26.0701,26.0183,Undetermined,Undetermined,28.1917,28.1612,26.0442,#DIV/0!,,,0,0,0,0
37,E,S,M,17,6,0,6b,3.488,411.4371257,Pos,,20.4335,20.4014,17.2176,17.1807,19.2361,19.8289,29.3574,29.1556,20.41745,17.19915,19.5325,29.2565,,,1,0,1,0
46,E,S,F,17,6,1,6a,0.249,23.53293413,Pos,,24.1851,24.0664,28.103,28.2226,20.034,20.3675,Undetermined,Undetermined,24.12575,28.1628,20.20075,#DIV/0!,,,0,0,0,0
47,E,S,M,17,6,1,6a,0.087,4.131736527,Neg,,23.1242,23.0559,29.7018,30.0541,28.5911,28.6674,31.7213,31.7731,23.09005,29.87795,28.62925,31.7472,,,0,0,0,0
1,E,G,F,21,4,1,4a,0.061,0.969882593,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,,0
8,E,G,F,21,4,1,4a,0.057,0.561510975,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
20,E,G,M,21,4,1,4a,0.092,4.134762634,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
21,E,G,M,21,4,1,4a,NA,NA,NA,died overnight into dpi 17,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,died overnight into dpi 17,,,,
23,E,G,M,21,4,0,4b,0.073,2.194997448,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
24,E,G,F,21,4,0,4b,0.642,60.28586013,Pos,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
25,E,G,F,21,4,0,4b,0.474,43.13425217,Pos,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
39,E,G,M,21,4,0,4b,0.525,48.3409903,Pos,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
9,C,G,F,21,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
30,C,G,M,21,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
