eartag,species,date,dpi,barn,innoc,barni,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r
233,Caprine,6/3/2021,7,3,1,3a,3.565,385.65,Pos,3.71,401.72,Pos,,,,16.706,16.5321,NA,NA,16.1954,16.1165,,,16.61905,,16.15595,,,1,1,,1
247,Caprine,6/3/2021,7,3,1,3a,3.552,384.21,Pos,3.642,394.18,Pos,,,,20.5023,20.5198,24.4143,24.488,18.5955,18.5037,,,20.51105,24.45115,18.5496,,,1,1,1,1
236,Caprine,6/3/2021,7,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
243,Caprine,6/3/2021,7,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
258,Bovine,6/3/2021,7,5,1,5a,0.1,1.72,Neg,0.076,-0.94,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
265,Bovine,6/3/2021,7,5,1,5a,0.083,-0.17,Neg,0.157,8.03,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
269,Bovine,6/3/2021,7,5,1,5a,0.161,8.48,Neg,0.105,2.27,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
273,Bovine,6/3/2021,7,5,1,5a,0.11,2.83,Neg,0.085,0.06,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
232,Caprine,6/3/2021,7,5,0,5b,0.081,-0.39,Neg,0.07,-1.61,Neg,,,,,,,,,,,,,,,,,,,,
245,Caprine,6/3/2021,7,5,0,5b,0.084,-0.06,Neg,0.387,33.52,Pos,,,,,,,,,,,,,,,,,,,,
248,Caprine,6/3/2021,7,5,0,5b,0.101,1.83,Neg,0.1,1.72,Neg,,,,,,,,,,,,,,,,,,,,
253,Caprine,6/3/2021,7,5,0,5b,0.079,-0.61,Neg,0.088,0.39,Neg,,,,,,,,,,,,,,,,,,,,
256,Bovine,6/3/2021,7,6,1,6a,0.086,0.17,Neg,0.163,8.7,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
261,Bovine,6/3/2021,7,6,1,6a,0.076,-0.94,Neg,0.132,5.26,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
268,Bovine,6/3/2021,7,6,1,6a,0.081,-0.39,Neg,0.412,36.29,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
272,Bovine,6/3/2021,7,6,1,6a,1.799,189.97,Pos,0.135,5.6,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
231,Caprine,6/3/2021,7,6,0,6b,0.067,-1.94,Neg,0.077,-0.83,Neg,,,,,,,,,,,,,,,,,,,,
240,Caprine,6/3/2021,7,6,0,6b,0.084,-0.06,Neg,0.07,-1.61,Neg,,,,,,,,,,,,,,,,,,,,
244,Caprine,6/3/2021,7,6,0,6b,0.076,-0.94,Neg,0.106,2.38,Neg,,,,,,,,,,,,,,,,,,,,
250,Caprine,6/3/2021,7,6,0,6b,0.078,-0.72,Neg,0.099,1.61,Neg,,,,,,,,,,,,,,,,,,,,
260,Bovine,9/3/2021,10,1,1,1a,0.062,-1.38,Neg,0.177,11.29,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
266,Bovine,9/3/2021,10,1,1,1a,0.441,40.36,Pos,0.449,41.24,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
274,Bovine,9/3/2021,10,1,1,1a,0.536,50.83,Pos,0.18,11.62,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
275,Bovine,9/3/2021,10,1,1,1a,0.335,28.69,Pos,0.254,19.77,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
239,Caprine,9/3/2021,10,1,0,1b,0.109,3.8,Neg,0.085,1.16,Neg,,,,,,,,,,,,,,,,,,,,
241,Caprine,9/3/2021,10,1,0,1b,0.084,1.05,Neg,0.07,-0.5,Neg,,,,,,,,,,,,,,,,,,,,
246,Caprine,9/3/2021,10,1,0,1b,0.096,2.37,Neg,0.145,7.76,Neg,,,,,,,,,,,,,,,,,,,,
255,Caprine,9/3/2021,10,1,0,1b,0.098,2.59,Neg,0.076,0.17,Neg,,,,,,,,,,,,,,,,,,,,
